Def 1,Def 2,Sentence,DocID,LineNumber
acquirer,public," In the event the acquirer has not declared an intention in the detailed public statement and the letter of offer to alienate any material assets of the target company or of any of its subsidiaries whether by way of sale, lease, encumbrance or otherwise outside the ordinary course of business, the acquirer, where he has acquired control over the target company, shall be debarred from causing such alienation for a period of two years after the offer period:",1591594726590.htmlTxt,828
acquirer,public," The acquirer shall ensure that the contents of the public announcement, the detailed public statement, the letter of offer and the post-offer advertisement are true, fair and adequate in all material aspects and not misleading in any material particular, and are based on reliable sources, and state the source wherever necessary.",1591594726590.htmlTxt,832
acquirer,public shareholding," The open offer made under regulation 6 shall be for acquisition of at least such number of shares as would entitle the holder thereof to exercise an additional ten per cent of the 19[voting rights in] the target company, and shall not exceed such number of shares as would result in the post-acquisition holding of the acquirer and persons acting in concert with him exceeding the maximum permissible non- public shareholding applicable to such target company:",1591594726590.htmlTxt,190
acquirer,relative," banks, financial advisors and stock brokers of the acquirer, or of any company which is a holding company or subsidiary of the acquirer, and where the acquirer is an individual, of the immediate relative of such individual:",1591594726590.htmlTxt,67
acquirer,schedule," The acquirer shall issue an advertisement in such form as may be specified, one working day before the commencement of the tendering period, announcing the schedule of activities for the open offer, the status of statutory and other approvals, if any, whether for the acquisition attracting the obligation to make an open offer under these regulations or for the open offer, unfulfilled conditions, if any, and their status, the procedure for tendering acceptances and such other material detail as may be specified:",1591594726590.htmlTxt,730
acquirer,securities," by issue, exchange or transfer of convertible debt securities entitling the holder thereof to acquire listed shares in the equity share capital of the acquirer or of any person acting in concert; or",1591594726590.htmlTxt,252
acquirer,securities," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company upon converting convertible securities without a fixed date of conversion or upon conversion of depository receipts for the underlying shares of the target company shall be made on the same day as the date of exercise of the option to convert such",1591594726590.htmlTxt,445
acquirer,securities," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company upon conversion of convertible securities with a fixed date of conversion shall be made on the second working day preceding the scheduled date of conversion of such securities into shares of the target company;",1591594726590.htmlTxt,447
acquirer,securities," sale of securities in response to a letter of offer sent by an acquirer in accordance with the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011;",1591596066093.htmlTxt,188
acquirer,securities," sale of securities in response to an offer made by any promoter or acquirer in accordance with the Securities and Exchange Board of India (Delisting of Equity shares) Regulations, 2009;",1591596066093.htmlTxt,189
acquirer,shares,"  No acquirer shall acquire shares or voting rights in a target company which taken together with shares or voting rights, if any, held by him and by persons acting in concert with him in such target company, entitle them to exercise twenty-five per cent or more of the voting rights in such target company unless the acquirer makes a public announcement of an open offer for acquiring shares of such target company in accordance with these regulations.",1591594726590.htmlTxt,111
acquirer,shares," No acquirer, who together with persons acting in concert with him, has acquired and holds in accordance with these regulations shares or voting rights in a target company entitling them to exercise twenty-five per cent or more of the voting rights in the target company but less than the maximum permissible non-public shareholding, shall acquire within any financial year additional shares or voting rights in such target company entitling them to exercise more than five per cent of the voting rights, unless the acquirer makes a public announcement of an open offer for acquiring shares of such target company in accordance with these regulations:",1591594726590.htmlTxt,117
acquirer,shares,Provided that such acquirer shall not be entitled to acquire or enter into any agreement to acquire shares or voting rights exceeding such number of shares as would take the aggregate shareholding pursuant to the acquisition above the maximum permissible non-public shareholding.,1591594726590.htmlTxt,118
acquirer,shares," Irrespective of acquisition or holding of shares or voting rights in a target company, no acquirer shall acquire, directly or indirectly, control over such target company unless the acquirer makes a public announcement of an open offer for acquiring",1591594726590.htmlTxt,129
acquirer,shares," A. (1) Notwithstanding anything contained in these regulations, in the event the acquirer makes a public announcement of an open offer for acquiring shares of a target company in terms of regulations 3, 4 or 5, he may delist the company in accordance with provisions of the Securities and Exchange Board of India (Delisting of Equity Shares) Regulations, 2009:",1591594726590.htmlTxt,143
acquirer,shares,"Provided that where an acquirer or any person acting in concert with him has acquired shares of the target company in the preceding fifty-two weeks without attracting the obligation to make a public announcement of an open offer, he shall not be eligible to voluntarily make a public announcement of an open offer for acquiring shares under this regulation:",1591594726590.htmlTxt,172
acquirer,shares,Provided further that during the offer period such acquirer shall not be entitled to acquire any shares otherwise than under the open offer.,1591594726590.htmlTxt,173
acquirer,shares," An acquirer and persons acting in concert with him, who have made a public announcement under this regulation to acquire shares of a target company shall",1591594726590.htmlTxt,174
acquirer,shares,Provided that such restriction shall not prohibit the acquirer from making a competing offer upon any other person making an open offer for acquiring shares of the target company.,1591594726590.htmlTxt,177
acquirer,shares,"  The open offer for acquiring shares to be made by the acquirer and persons acting in concert with him under regulation 3 and regulation 4 shall be for at least twenty six per cent of total shares of the target company, as of tenth working day from the closure of the tendering period:",1591594726590.htmlTxt,183
acquirer,shares," The open offer made under regulation 6 shall be for acquisition of at least such number of shares as would entitle the holder thereof to exercise an additional ten per cent of the 19[voting rights in] the target company, and shall not exceed such number of shares as would result in the post-acquisition holding of the acquirer and persons acting in concert with him exceeding the maximum permissible non- public shareholding applicable to such target company:",1591594726590.htmlTxt,190
acquirer,shares,"Provided that in the event of a competing offer being made, the acquirer who has voluntarily made a public announcement of an open offer under regulation 6 shall be entitled to increase the number of shares for which the open offer has been made to such number of shares as he deems fit:",1591594726590.htmlTxt,191
acquirer,shares," In the event the shares accepted in the open offer were such that the shareholding of the acquirer taken together with persons acting in concert with him pursuant to completion of the open offer results in their shareholding exceeding the maximum permissible non-public shareholding, the acquirer shall be required to bring down the non-public shareholding to the level specified and within the time permitted under Securities Contract (Regulation) Rules, 1957.",1591594726590.htmlTxt,194
acquirer,shares," where the shares are not frequently traded, the price determined by the acquirer and the manager to the open offer taking into account valuation parameters including, book value, comparable trading multiples, and such other parameters as are customary for valuation of shares of such companies; and",1591594726590.htmlTxt,209
acquirer,shares," the highest price paid or payable for any acquisition, whether by the acquirer or by any person acting in concert with him, between the earlier of, the date on which the primary acquisition is contracted, and the date on which the intention or the decision to make the primary acquisition is announced in the public domain, and the date of the public announcement of the open offer for shares of the target company made under these regulations;",1591594726590.htmlTxt,215
acquirer,shares," In the event the offer price is incapable of being determined under any of the parameters specified in sub-regulation (3), without prejudice to the requirements of sub-regulation (5), the offer price shall be the fair price of shares of the target company to be determined by the acquirer and the manager to the open offer taking into account valuation parameters including, book value, comparable trading multiples, and such other parameters as are customary for valuation of shares of such companies.",1591594726590.htmlTxt,219
acquirer,shares," For the purposes of sub-regulation (2) and sub-regulation (3), where the acquirer or any person acting in concert with him has any outstanding convertible instruments convertible into shares of the target company at a specific price, the price at which such instruments are to be converted into shares, shall also be considered as a parameter under sub-regulation (2) and sub-regulation (3).",1591594726590.htmlTxt,228
acquirer,shares," Where the acquirer has acquired or agreed to acquire whether by himself or through or with persons acting in concert with him any shares or voting rights in the target company during the offer period, whether by subscription or purchase, at a price higher than the offer price, the offer price shall stand revised to the highest price paid or payable for any such acquisition:",1591594726590.htmlTxt,230
acquirer,shares," Where the acquirer or persons acting in concert with him acquires shares of the target company during the period of twenty-six weeks after the tendering period at a price higher than the offer price under these regulations, the acquirer and persons acting in concert shall pay the difference between the highest acquisition price and the offer price, to all the shareholders whose shares were accepted in the open offer, within sixty days from the date of such acquisition:",1591594726590.htmlTxt,236
acquirer,shares," The offer price for equity shares carrying differential voting rights shall be determined by the acquirer and the manager to the open offer with full disclosure of justification for the price so determined, being set out in the detailed public statement and the letter of offer:",1591594726590.htmlTxt,242
acquirer,shares," by issue, exchange or transfer of listed shares in the equity share capital of the acquirer or of any person acting in concert;",1591594726590.htmlTxt,250
acquirer,shares," by issue, exchange or transfer of convertible debt securities entitling the holder thereof to acquire listed shares in the equity share capital of the acquirer or of any person acting in concert; or",1591594726590.htmlTxt,252
acquirer,shares,"Provided that where any shares have been acquired or agreed to be acquired by the acquirer and persons acting in concert with him during the fifty-two weeks immediately preceding the date of public announcement constitute more than ten per cent of the voting rights in the target company and has been paid for in cash, the open offer shall entail an option to the shareholders to require payment of the offer price in cash, and a shareholder who has not exercised an option in his acceptance shall be deemed to have opted for receiving the offer price in cash:",1591594726590.htmlTxt,254
acquirer,shares," acquisitions at subsequent stages, by an acquirer who has made a public announcement of an open offer for acquiring shares pursuant to an agreement of disinvestment, as contemplated in such agreement:",1591594726590.htmlTxt,306
acquirer,shares," In respect of acquisitions under clause (a) of sub-regulation (1), and clauses (e) and (f) of sub-regulation (4), the acquirer shall intimate the stock exchanges where the shares of the target company are listed, the details of the proposed acquisition in such form as may be specified, at least four working days prior to the proposed acquisition, and the stock exchange shall forthwith disseminate such information to the public.",1591594726590.htmlTxt,401
acquirer,shares," In respect of any acquisition made pursuant to exemption provided for in this regulation, the acquirer shall file a report with the stock exchanges where the shares",1591594726590.htmlTxt,402
acquirer,shares, The public announcement of the open offer for acquiring shares required under these regulations shall be made by the acquirer through such manager to the,1591594726590.htmlTxt,438
acquirer,shares," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company upon converting convertible securities without a fixed date of conversion or upon conversion of depository receipts for the underlying shares of the target company shall be made on the same day as the date of exercise of the option to convert such",1591594726590.htmlTxt,445
acquirer,shares," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company upon conversion of convertible securities with a fixed date of conversion shall be made on the second working day preceding the scheduled date of conversion of such securities into shares of the target company;",1591594726590.htmlTxt,447
acquirer,shares," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company, under preferential issue, shall be made on the date on which 53 [the board of directors of the target company authorises such preferential issue.];",1591594726590.htmlTxt,452
acquirer,shares,"Explanation.— It is clarified that in the event the acquirer does not succeed in acquiring the ability to exercise or direct the exercise of voting rights in, or control over the target company, the acquirer shall not be required to make a detailed public statement of an open offer for acquiring shares under these",1591594726590.htmlTxt,470
acquirer,shares," the entire amount to the acquirer upon the expiry of thirty days from the completion of payment of consideration to shareholders who have tendered their shares in acceptance of the open offer, upon certification by the manager to the open offer, where the open offer is for exchange of shares or other secured instruments;",1591594726590.htmlTxt,702
acquirer,shares,"  Simultaneously with the filing of the draft letter of offer with the Board under sub-regulation (1) of regulation 16, the acquirer shall send a copy of the draft letter of offer to the target company at its registered office address and to all stock exchanges where the shares of the target company are listed.",1591594726590.htmlTxt,709
acquirer,shares,"Provided that where local laws or regulations of any jurisdiction outside India may expose the acquirer or the target company to material risk of civil, regulatory or criminal liabilities in the event the letter of offer in its final form were to be sent without material amendments or modifications into such jurisdiction, and the shareholders resident in such jurisdiction hold shares entitling them to less than five per cent of the voting rights of the target",1591594726590.htmlTxt,714
acquirer,shares," Simultaneously with the dispatch of the letter of offer in terms of sub-regulation (2), the acquirer shall send the letter of offer to the custodian of shares underlying depository receipts, if any, of the target company.",1591594726590.htmlTxt,719
acquirer,shares," Irrespective of whether a competing offer has been made, an acquirer may make upward revisions to the offer price, and subject to the other provisions of these regulations, to the number of shares sought to be acquired under the open offer, at any time prior to the commencement of the last 60[one working day] before the commencement of the tendering period.",1591594726590.htmlTxt,720
acquirer,shares," The acquirer shall disclose during the offer period every acquisition made by the acquirer or persons acting in concert with him of any shares of the target company in such form as may be specified, to each of the stock exchanges on which the shares of the target company are listed and to the target company at its registered office within twenty-four hours of such acquisition, and the stock exchanges shall forthwith disseminate such information to the public:",1591594726590.htmlTxt,725
acquirer,shares,Provided that the acquirer and persons acting in concert with him shall not acquire or sell any shares of the target company during the period between three working days prior to the commencement of the tendering period and until the expiry of the tendering period.,1591594726590.htmlTxt,728
acquirer,shares," 1[(6A) The acquirer shall facilitate tendering of shares by the shareholders and settlement of the same, through the stock exchange mechanism as specified by the Board.]",1591594726590.htmlTxt,729
acquirer,shares,"  Where an open offer is made conditional upon minimum level of acceptances, the acquirer and persons acting in concert with him shall not acquire, during the offer period, any shares in the target company except under the open offer and any underlying agreement for the sale of shares of the target company pursuant to which the open offer is made.",1591594726590.htmlTxt,753
acquirer,shares,"  Upon a public announcement of an open offer for acquiring shares of a target company being made, any person, other than the acquirer who has made such public announcement, shall be entitled to make a public announcement of an open offer within fifteen working days of the date of the detailed public statement made by the acquirer who has made the first public announcement.",1591594726590.htmlTxt,755
acquirer,shares," The open offer made under sub-regulation (1) shall be for such number of shares which, when taken together with shares held by such acquirer along with persons acting in concert with him, shall be at least equal to the holding of the acquirer who has made the first public announcement, including the number of shares proposed to be acquired by him under the offer and any underlying agreement for the sale of shares of the target company pursuant to which the open offer is made.",1591594726590.htmlTxt,756
acquirer,shares," Subject to provisos to sub-regulation (11) of regulation 18, the acquirer shall complete payment of consideration whether in the form of cash, or as the case may be, by issue, exchange or transfer of securities, to all shareholders who have tendered shares in acceptance of the open offer, within ten working days of the expiry of the tendering period.",1591594726590.htmlTxt,774
acquirer,shares,"  The acquirer shall not complete the acquisition of shares or voting rights in, or control over, the target company, whether by way of subscription to shares or a purchase of shares attracting the obligation to make an open offer for acquiring shares, until the expiry of the offer period:",1591594726590.htmlTxt,777
acquirer,shares," 3[Provided further that in case of a delisting offer made under regulation 5A, the acquirer shall complete the acquisition of shares attracting the obligation to make an offer for acquiring shares in terms of regulations 3, 4 or 5, only after making the public announcement regarding the success of the",1591594726590.htmlTxt,779
acquirer,shares," Notwithstanding anything contained in sub-regulation (1), subject to the acquirer depositing in the escrow account under regulation 17, cash of an amount equal to 64 [the entire] consideration payable under the open offer assuming full acceptance of the open offer, the parties to such agreement may after the expiry of twenty-one working days from the date of detailed public statement, act upon the agreement and the acquirer may complete the acquisition of shares or voting",1591594726590.htmlTxt,783
acquirer,shares," 5[(2A) Notwithstanding anything contained in sub-regulation (1), an acquirer may acquire shares of the target company through preferential issue or through the stock exchange settlement process, other than through bulk deals or block deals, subject to ,-",1591594726590.htmlTxt,785
acquirer,shares, the acquirer not exercising any voting rights over such shares kept in the escrow account:,1591594726590.htmlTxt,787
acquirer,shares,"Provided that such shares may be transferred to the account of the acquirer, subject to the acquirer complying with requirements specified in sub-regulation",1591594726590.htmlTxt,788
acquirer,shares," 5(1) Prior to making the public announcement of an open offer for acquiring shares under these regulations, the acquirer shall ensure that firm financial arrangements have been made for fulfilling the payment obligations under the open offer and that the acquirer is able to implement the open offer, subject to any statutory approvals for the open offer that may be necessary.",1591594726590.htmlTxt,827
acquirer,shares," The acquirer and persons acting in concert with him shall not sell shares of the target company held by them, during the offer period.",1591594726590.htmlTxt,833
acquirer,shares," The target company shall furnish to the acquirer within two working days from the identified date, a list of shareholders as per the register of members of the target company containing names, addresses, shareholding and folio number, in electronic form, wherever available, and a list of persons whose applications, if any, for registration of transfer of shares are pending with the target company:",1591594726590.htmlTxt,851
acquirer,shares, The board of directors of the target company shall facilitate the acquirer in verification of shares tendered in acceptance of the open offer.,1591594726590.htmlTxt,860
acquirer,shares," Upon fulfillment by the acquirer, of the conditions required under these regulations, the board of directors of the target company shall without any delay register the transfer of shares acquired by the acquirer in physical form, whether under the agreement or from open market purchases, or pursuant to the open offer.",1591594726590.htmlTxt,862
acquirer,shares,"  Any acquirer who acquires shares or voting rights in a target company which taken together with shares or voting rights, if any, held by him and by persons acting in concert with him in such target company, aggregating to five per cent or more of the shares of such target company, shall disclose their aggregate shareholding and voting rights in such target company in such form as may be specified.",1591594726590.htmlTxt,886
acquirer,shares," directing the acquirer or any person acting in concert, or any nominee or proxy not to exercise any voting or other rights attached to shares acquired in violation of these regulations;",1591594726590.htmlTxt,941
acquirer,shares, directing the acquirer to make an open offer for acquiring shares of the target company at such offer price as determined by the Board in accordance with these regulations;,1591594726590.htmlTxt,943
acquirer,shares," directing the acquirer who has failed to make payment of the open offer consideration to shareholders, not to make any open offer or enter into any transaction that would attract the obligation to make an open offer in respect of shares of any target company for such period as the Board may deem fit;",1591594726590.htmlTxt,946
acquirer,shares, directing divestiture of such number of shares as would result in the shareholding of an acquirer and persons acting in concert with him being limited to the maximum permissible non-public shareholding or below.,1591594726590.htmlTxt,950
acquirer,target company,"  No acquirer shall acquire shares or voting rights in a target company which taken together with shares or voting rights, if any, held by him and by persons acting in concert with him in such target company, entitle them to exercise twenty-five per cent or more of the voting rights in such target company unless the acquirer makes a public announcement of an open offer for acquiring shares of such target company in accordance with these regulations.",1591594726590.htmlTxt,111
acquirer,target company," No acquirer, who together with persons acting in concert with him, has acquired and holds in accordance with these regulations shares or voting rights in a target company entitling them to exercise twenty-five per cent or more of the voting rights in the target company but less than the maximum permissible non-public shareholding, shall acquire within any financial year additional shares or voting rights in such target company entitling them to exercise more than five per cent of the voting rights, unless the acquirer makes a public announcement of an open offer for acquiring shares of such target company in accordance with these regulations:",1591594726590.htmlTxt,117
acquirer,target company," Irrespective of acquisition or holding of shares or voting rights in a target company, no acquirer shall acquire, directly or indirectly, control over such target company unless the acquirer makes a public announcement of an open offer for acquiring",1591594726590.htmlTxt,129
acquirer,target company," A. (1) Notwithstanding anything contained in these regulations, in the event the acquirer makes a public announcement of an open offer for acquiring shares of a target company in terms of regulations 3, 4 or 5, he may delist the company in accordance with provisions of the Securities and Exchange Board of India (Delisting of Equity Shares) Regulations, 2009:",1591594726590.htmlTxt,143
acquirer,target company,"Provided that where an acquirer or any person acting in concert with him has acquired shares of the target company in the preceding fifty-two weeks without attracting the obligation to make a public announcement of an open offer, he shall not be eligible to voluntarily make a public announcement of an open offer for acquiring shares under this regulation:",1591594726590.htmlTxt,172
acquirer,target company," An acquirer and persons acting in concert with him, who have made a public announcement under this regulation to acquire shares of a target company shall",1591594726590.htmlTxt,174
acquirer,target company," the highest price paid or payable for any acquisition, whether by the acquirer or by any person acting in concert with him, between the earlier of, the date on which the primary acquisition is contracted, and the date on which the intention or the decision to make the primary acquisition is announced in the public domain, and the date of the public announcement of the open offer for shares of the target company made under these regulations;",1591594726590.htmlTxt,215
acquirer,target company," In the event the offer price is incapable of being determined under any of the parameters specified in sub-regulation (3), without prejudice to the requirements of sub-regulation (5), the offer price shall be the fair price of shares of the target company to be determined by the acquirer and the manager to the open offer taking into account valuation parameters including, book value, comparable trading multiples, and such other parameters as are customary for valuation of shares of such companies.",1591594726590.htmlTxt,219
acquirer,target company,"is in excess of fifteen per cent, on the basis of the most recent audited annual financial statements, the acquirer shall, notwithstanding anything contained in sub-regulation (2) or sub-regulation (3), be required to compute and disclose, in the letter of offer, the per share value of the target company taken into account for the acquisition, along with a detailed description of the methodology adopted for such computation.",1591594726590.htmlTxt,224
acquirer,target company," For the purposes of sub-regulation (2) and sub-regulation (3), where the acquirer or any person acting in concert with him has any outstanding convertible instruments convertible into shares of the target company at a specific price, the price at which such instruments are to be converted into shares, shall also be considered as a parameter under sub-regulation (2) and sub-regulation (3).",1591594726590.htmlTxt,228
acquirer,target company," Where the acquirer has acquired or agreed to acquire whether by himself or through or with persons acting in concert with him any shares or voting rights in the target company during the offer period, whether by subscription or purchase, at a price higher than the offer price, the offer price shall stand revised to the highest price paid or payable for any such acquisition:",1591594726590.htmlTxt,230
acquirer,target company," Where the acquirer or persons acting in concert with him acquires shares of the target company during the period of twenty-six weeks after the tendering period at a price higher than the offer price under these regulations, the acquirer and persons acting in concert shall pay the difference between the highest acquisition price and the offer price, to all the shareholders whose shares were accepted in the open offer, within sixty days from the date of such acquisition:",1591594726590.htmlTxt,236
acquirer,target company,"Provided that where any shares have been acquired or agreed to be acquired by the acquirer and persons acting in concert with him during the fifty-two weeks immediately preceding the date of public announcement constitute more than ten per cent of the voting rights in the target company and has been paid for in cash, the open offer shall entail an option to the shareholders to require payment of the offer price in cash, and a shareholder who has not exercised an option in his acceptance shall be deemed to have opted for receiving the offer price in cash:",1591594726590.htmlTxt,254
acquirer,target company," In respect of acquisitions under clause (a) of sub-regulation (1), and clauses (e) and (f) of sub-regulation (4), the acquirer shall intimate the stock exchanges where the shares of the target company are listed, the details of the proposed acquisition in such form as may be specified, at least four working days prior to the proposed acquisition, and the stock exchange shall forthwith disseminate such information to the public.",1591594726590.htmlTxt,401
acquirer,target company," For seeking exemption under sub-regulation (1), the acquirer shall, and for seeking relaxation under sub-regulation (2) the target company shall file an application with the Board, supported by a duly sworn affidavit, giving details of the proposed acquisition and the grounds on which the exemption has been sought.",1591594726590.htmlTxt,424
acquirer,target company," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company upon converting convertible securities without a fixed date of conversion or upon conversion of depository receipts for the underlying shares of the target company shall be made on the same day as the date of exercise of the option to convert such",1591594726590.htmlTxt,445
acquirer,target company," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company upon conversion of convertible securities with a fixed date of conversion shall be made on the second working day preceding the scheduled date of conversion of such securities into shares of the target company;",1591594726590.htmlTxt,447
acquirer,target company," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company, under preferential issue, shall be made on the date on which 53 [the board of directors of the target company authorises such preferential issue.];",1591594726590.htmlTxt,452
acquirer,target company,"  Simultaneously with the filing of the draft letter of offer with the Board under sub-regulation (1) of regulation 16, the acquirer shall send a copy of the draft letter of offer to the target company at its registered office address and to all stock exchanges where the shares of the target company are listed.",1591594726590.htmlTxt,709
acquirer,target company,"Provided that where local laws or regulations of any jurisdiction outside India may expose the acquirer or the target company to material risk of civil, regulatory or criminal liabilities in the event the letter of offer in its final form were to be sent without material amendments or modifications into such jurisdiction, and the shareholders resident in such jurisdiction hold shares entitling them to less than five per cent of the voting rights of the target",1591594726590.htmlTxt,714
acquirer,target company," The acquirer shall disclose during the offer period every acquisition made by the acquirer or persons acting in concert with him of any shares of the target company in such form as may be specified, to each of the stock exchanges on which the shares of the target company are listed and to the target company at its registered office within twenty-four hours of such acquisition, and the stock exchanges shall forthwith disseminate such information to the public:",1591594726590.htmlTxt,725
acquirer,target company,Provided that the acquirer and persons acting in concert with him shall not acquire or sell any shares of the target company during the period between three working days prior to the commencement of the tendering period and until the expiry of the tendering period.,1591594726590.htmlTxt,728
acquirer,target company,"  Where an open offer is made conditional upon minimum level of acceptances, the acquirer and persons acting in concert with him shall not acquire, during the offer period, any shares in the target company except under the open offer and any underlying agreement for the sale of shares of the target company pursuant to which the open offer is made.",1591594726590.htmlTxt,753
acquirer,target company,"  Upon a public announcement of an open offer for acquiring shares of a target company being made, any person, other than the acquirer who has made such public announcement, shall be entitled to make a public announcement of an open offer within fifteen working days of the date of the detailed public statement made by the acquirer who has made the first public announcement.",1591594726590.htmlTxt,755
acquirer,target company," The open offer made under sub-regulation (1) shall be for such number of shares which, when taken together with shares held by such acquirer along with persons acting in concert with him, shall be at least equal to the holding of the acquirer who has made the first public announcement, including the number of shares proposed to be acquired by him under the offer and any underlying agreement for the sale of shares of the target company pursuant to which the open offer is made.",1591594726590.htmlTxt,756
acquirer,target company," 5[(2A) Notwithstanding anything contained in sub-regulation (1), an acquirer may acquire shares of the target company through preferential issue or through the stock exchange settlement process, other than through bulk deals or block deals, subject to ,-",1591594726590.htmlTxt,785
acquirer,target company,"Provided further that where the acquirer has specified conditions to which the open offer is subject in terms of clause (c) of sub-regulation (1) of regulation 23, no director representing the acquirer may be appointed to the board of directors of the target company during the offer period unless the acquirer has waived or attained such conditions and complies with the requirement of depositing cash in the escrow account.",1591594726590.htmlTxt,817
acquirer,target company,the acquirer or any person acting in concert with him on the board of directors of the target company during the offer period.,1591594726590.htmlTxt,821
acquirer,target company," In the event the acquirer or any person acting in concert is already represented by a director on the board of the target company, such director shall not participate in any deliberations of the board of directors of the target company or vote on any matter in",1591594726590.htmlTxt,824
acquirer,target company," In the event the acquirer has not declared an intention in the detailed public statement and the letter of offer to alienate any material assets of the target company or of any of its subsidiaries whether by way of sale, lease, encumbrance or otherwise outside the ordinary course of business, the acquirer, where he has acquired control over the target company, shall be debarred from causing such alienation for a period of two years after the offer period:",1591594726590.htmlTxt,828
acquirer,target company," The acquirer and persons acting in concert with him shall not sell shares of the target company held by them, during the offer period.",1591594726590.htmlTxt,833
acquirer,target company," The target company shall furnish to the acquirer within two working days from the identified date, a list of shareholders as per the register of members of the target company containing names, addresses, shareholding and folio number, in electronic form, wherever available, and a list of persons whose applications, if any, for registration of transfer of shares are pending with the target company:",1591594726590.htmlTxt,851
acquirer,target company,Provided that the acquirer shall reimburse reasonable costs payable by the target company to external agencies in order to furnish such information.,1591594726590.htmlTxt,852
acquirer,target company, The board of directors of the target company shall facilitate the acquirer in verification of shares tendered in acceptance of the open offer.,1591594726590.htmlTxt,860
acquirer,target company," The board of directors of the target company shall make available to all acquirers making competing offers, any information and co-operation provided to any acquirer who has made a competing offer.",1591594726590.htmlTxt,861
acquirer,target company," Upon fulfillment by the acquirer, of the conditions required under these regulations, the board of directors of the target company shall without any delay register the transfer of shares acquired by the acquirer in physical form, whether under the agreement or from open market purchases, or pursuant to the open offer.",1591594726590.htmlTxt,862
acquirer,target company,  The disclosures under this Chapter shall be of the aggregated shareholding and voting rights of the acquirer or promoter of the target company or every person acting in concert with him.,1591594726590.htmlTxt,877
acquirer,target company,"  Any acquirer who acquires shares or voting rights in a target company which taken together with shares or voting rights, if any, held by him and by persons acting in concert with him in such target company, aggregating to five per cent or more of the shares of such target company, shall disclose their aggregate shareholding and voting rights in such target company in such form as may be specified.",1591594726590.htmlTxt,886
acquirer,target company, directing the acquirer to make an open offer for acquiring shares of the target company at such offer price as determined by the Board in accordance with these regulations;,1591594726590.htmlTxt,943
acquirer,target company," directing the acquirer not to cause, and the target company not to effect, any disposal of assets of the target company or any of its subsidiaries contrary to the contents of the letter of offer, where the conditions set out in the proviso to sub- regulation (2) of regulation 25 are not met;",1591594726590.htmlTxt,944
acquirer,target company," directing the acquirer who has failed to make payment of the open offer consideration to shareholders, not to make any open offer or enter into any transaction that would attract the obligation to make an open offer in respect of shares of any target company for such period as the Board may deem fit;",1591594726590.htmlTxt,946
acquirer,tendering period," Where the acquirer or persons acting in concert with him acquires shares of the target company during the period of twenty-six weeks after the tendering period at a price higher than the offer price under these regulations, the acquirer and persons acting in concert shall pay the difference between the highest acquisition price and the offer price, to all the shareholders whose shares were accepted in the open offer, within sixty days from the date of such acquisition:",1591594726590.htmlTxt,236
acquirer,tendering period,Provided that the acquirer and persons acting in concert with him shall not acquire or sell any shares of the target company during the period between three working days prior to the commencement of the tendering period and until the expiry of the tendering period.,1591594726590.htmlTxt,728
acquirer,trading," where the shares are not frequently traded, the price determined by the acquirer and the manager to the open offer taking into account valuation parameters including, book value, comparable trading multiples, and such other parameters as are customary for valuation of shares of such companies; and",1591594726590.htmlTxt,209
acquirer,trading," In the event the offer price is incapable of being determined under any of the parameters specified in sub-regulation (3), without prejudice to the requirements of sub-regulation (5), the offer price shall be the fair price of shares of the target company to be determined by the acquirer and the manager to the open offer taking into account valuation parameters including, book value, comparable trading multiples, and such other parameters as are customary for valuation of shares of such companies.",1591594726590.htmlTxt,219
acquirer,working day,"  The open offer for acquiring shares to be made by the acquirer and persons acting in concert with him under regulation 3 and regulation 4 shall be for at least twenty six per cent of total shares of the target company, as of tenth working day from the closure of the tendering period:",1591594726590.htmlTxt,183
acquirer,working day," pursuant to an acquirer acquiring shares or voting rights in, or control over the target company upon conversion of convertible securities with a fixed date of conversion shall be made on the second working day preceding the scheduled date of conversion of such securities into shares of the target company;",1591594726590.htmlTxt,447
acquirer,working day," The acquirer shall issue an advertisement in such form as may be specified, one working day before the commencement of the tendering period, announcing the schedule of activities for the open offer, the status of statutory and other approvals, if any, whether for the acquisition attracting the obligation to make an open offer under these regulations or for the open offer, unfulfilled conditions, if any, and their status, the procedure for tendering acceptances and such other material detail as may be specified:",1591594726590.htmlTxt,730
acquisition,acquirer,Provided that such acquirer shall not be entitled to acquire or enter into any agreement to acquire shares or voting rights exceeding such number of shares as would take the aggregate shareholding pursuant to the acquisition above the maximum permissible non-public shareholding.,1591594726590.htmlTxt,118
acquisition,acquirer," Irrespective of acquisition or holding of shares or voting rights in a target company, no acquirer shall acquire, directly or indirectly, control over such target company unless the acquirer makes a public announcement of an open offer for acquiring",1591594726590.htmlTxt,129
