,def,term
115,"“custodian” means a person registered with the board under the securities and exchange board of india (custodian of securities) regulations, 1996; 7[“debt securities” shall be as defined under regulation 2(1)of sebi (issue and listing of debt securities) regulations, 2008;] ",custodian
116,"“designated stock exchange” means a recognised stock exchange in which units of a reit are listed or proposed to be listed and which is chosen by the reit as a designated stock exchange for the purpose of a particular issue of the units of the reit under these regulations: provided that where one or more of such stock exchanges have nationwide trading terminals, the reit shall choose one of them as the designated stock exchange: provided further that subject to the provisions of this clause, the reit may choose a different recognised stock exchange as a designated stock exchange for any subsequent issue of units of the reit under these regulations; 6 substituted for the word “more” by the securities and exchange board of india (real estate investment trusts) regulations, 2018, w.e.f. 10.04.2018.  7 inserted by the sebi (real estate investment trusts) regulations, 2016, w.e.f. 30.11.2016. 4 ""floor space index"" or ""fsi"" shall mean the buildable area on a plot of land as specified by the competant authority; ",designated stock exchange
117,“follow–on offer” means offer of units of a listed reit to the public for subscription and includes an offer for sale of reit units by an existing unit holder to the public; 8[***] ,follow–on offer
118,"“form” means any of the forms set out in the schedule i of these regulations; 9[""general purposes"" include such identified purposes for which no specific amount is allocated or any amount so specified towards general purpose or any such purpose by whatever name called, in the offer document filed with the board:  provided that any issue related expenses shall not be considered as a part of general purpose merely because no specific amount has been allocated for such expenses in the offer document filed with the board;”] ""governing board” in case of an llp shall mean a group of members assigned by the llp to act in a manner similar to the board of directors in case of a company;“initial offer” means the first offer of units of an reit to the public for subscription and includes an offer for sale of reit units by an existing unit holder to the public; 10[““holdco” or “holding company” shall mean a company or llp.,- in which reit holds or proposes to hold 11[***] not less than fifty 12[***] per cent. of the equity share capital or interest and which it in turn has made investments in other spv, which ultimately hold the property; which is not engaged in any other activity other than holding of the underlying spv, holding of real estate/properties and any other activities pertaining to and incidental to such holdings;”; ",form
119,"“initial offer” means the first offer of units of an reit to the public for subscription and includes an offer for sale of reit units by an existing unit holder to the public;] 8 omitted, by the sebi (real estate investment trusts) regulations, 2016, w.e.f. 30.11.2016. prior to its omission, clause read as under :  ",initial offer
120,"““follow-on offer document” means any document by which follow-on  offer is made to the public;” 9 inserted by the sebi (real estate investment trusts) regulations, 2016, w.e.f. 30.11.2016. 10 inserted by the sebi (real estate investment trusts) regulations, 2016, w.e.f. 30.11.2016. 11 words “controlling interest and” omitted by the securities and exchange board of india (real estate investment trusts) regulations, 2018, w.e.f. 10.04.2018. 12 word “one” omitted ibid. 5 13[***] ",“follow-on offer document
121,“inspecting officer” means any one or more person appointed by the board  to exercise ,inspecting officer
122,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); ",act
123,"“alternative investment fund” means any fund established or incorporated in india in the form of a trust or a company or a limited liability partnership or a body corporate which,- is a privately pooled investment vehicle which collects funds from investors, whether indian or foreign, for investing it in accordance with a defined investment policy for the benefit of its investors; and is not covered under the securities and exchange board of india (mutual funds) regulations, 1996, securities and exchange board of india (collective investment schemes) regulations, 1999 or any other regulations of the board to regulate fund management activities: provided that the following shall not be considered as alternative investment fund for the purpose of these regulations,-  family trusts set up for the benefit of ‘relatives’ as defined under 1[companies act, 2013];  2[esop trusts set up under the securities and exchange board of india (share based employee benefits) regulations, 2014 or as permitted under companies act, 2013;] employee welfare trusts or gratuity trusts set up for the benefit of employees; 3[’holding companies’ as defined under sub-section 46 of section 2 of companies act, 2013;] 1 substituted by the sebi (alternative investment funds)regulations, 2018, w.e.f. 01-06-2018. prior to the substitution, it read as “companies act, 1956”. 2 substituted by the sebi (alternative investment funds)regulations, 2018, w.e.f. 01-06-2018. prior to the substitution, it read as “esop trusts set up under the securities and exchange board of india (employee stock option scheme and employee stock purchase scheme), guidelines, 1999 or as permitted under companies act, 1956;” 3 substituted by the sebi (alternative investment funds)regulations, 2018, w.e.f. 01-06-2018. prior to the substitution, it read as “holding companies’ within the meaning of section 4 of the companies act, 1956;”. other special purpose vehicles not established by fund managers, including securitization trusts, regulated under a specific regulatory framework;  funds managed by securitisation company or reconstruction company which is registered with the reserve bank of india under section 3 of the securitisation and reconstruction of financial assets and enforcement of security interest act, 2002; and any such pool of funds which is directly regulated by any other regulator in india; ",alternative investment fund
124,"“associate” means a company or a limited liability partnership or a body corporate in which a director or trustee or partner or sponsor or manager of the alternative investment fund or a director or partner of the manager or sponsor holds, either individually or collectively, more than fifteen percent of its paid-up equity share capital or partnership interest, as the case may be;  ",associate
125,“board” means the securities and exchange board of india established under section 3 of the act; ,board
126,"“certificate” means a certificate of registration granted by the board under regulation 6; “change in control” in relation to a company or  a body corporate, means: if its shares are listed on any recognized stock exchange, change in control within the meaning of clause of sub-regulation (1) of regulation 2 of the securities and exchange board of india (substantial acquisition of shares and takeovers) regulations, 2011; in any other case, change in the controlling interest or change in legal form; explanation.─ for the purpose of sub-clause , the expression ",certificate
127,"“controlling interest” means an interest, whether direct or indirect, to the extent of more than fifty percent of voting rights or interest; ",controlling interest
128,"“company” means a company incorporated under the 4[companies act, 2013]; ",company
129,“corpus” means the total amount of funds committed by investors to the alternative investment fund by way of a written contract or any such document as on a particular date;  ,corpus
130,"5[“custodian” means a person who has been granted a certificate of registration to carry on the business of custodian under the securities and exchange board of india regulations, 1996;] ",custodian
131,“debt fund” means an alternative investment fund which invests primarily in debt or debt securities of listed or unlisted investee companies according to the stated objectives of the fund; ,debt fund
132,"“equity linked instruments” includes instruments convertible into equity shares or share warrants, preference shares, debentures compulsorily or optionally convertible into equity;  ",equity linked instruments
133,“form” means any of the forms set out in the first schedule; ,form
134,"6[“goods” means the goods notified by the central government under clause of section 2 of the securities contracts act, 1956 and forming the underlying of any commodity derivative;] ",goods
135,“hedge fund” means an alternative  investment fund which employs diverse or complex trading strategies and invests and trades in securities having diverse risks or complex products including listed and unlisted derivatives; ,hedge fund
136,"“infrastructure fund” means an alternative investment fund which invests primarily in unlisted securities or partnership interest or listed debt or securitized 4 substituted by the sebi (alternative investment funds)regulations, 2018, w.e.f. 01-06-2018. prior to the substitution, it read as “companies act, 1956”. 5 inserted by the sebi (alternative investment funds)regulations, 2019, w.e.f. 10-05-2019. 6 inserted by the sebi (alternative investment funds)regulations, 2019, w.e.f. 10-05-2019. debt instruments of investee companies or special purpose vehicles engaged in or formed for the purpose of  operating, developing or holding infrastructure projects; explanation.─ ‘infrastructure’ shall be as defined by the government of india from time to time. ",infrastructure fund
137,“inspecting authority” means any one or more person appointed by the board  to exercise powers conferred under regulation 30;  ,inspecting authority
138,"“investee company” means any company, special purpose vehicle or limited liability partnership or body corporate 7[or real estate investment trust or infrastructure investment trust] in which an alternative investment fund makes an investment; ",investee company
139,“investible funds” means corpus of the alternative investment fund net of estimated expenditure for administration and management of the fund; ,investible funds
140,“manager” means any person or entity who is appointed by the alternative investment fund to manage its investments by whatever name called and may also be same as the sponsor of the fund; ,manager
141,“private equity fund” means an alternative investment fund which invests primarily in equity or equity linked instruments or partnership interests of investee companies according to the stated objective of the fund; ,private equity fund
142,"“sme” means small and medium enterprise  and shall have the same meaning as assigned to it under the micro, small and medium enterprises development act 2006 as amended from time to time;  ",sme
143,"“sme fund” means an alternative investment fund which invests primarily in unlisted securities of investee companies which are smes or securities of those smes which are listed or proposed to be listed on a sme exchange or sme segment of an exchange;  7 inserted by the sebi (real estate investment trusts) regulations, 2014, w.e.f. 26-09-2014.  ",sme fund
144,"“social venture” means a trust, society or company or venture capital undertaking or limited liability partnership formed with the purpose of promoting social welfare or solving social problems or providing social benefits and includes,- public charitable trusts registered with charity commissioner; societies registered for charitable purposes or for promotion of science, literature, or fine arts; 8[company registered under section 8 of the companies act, 2013;]  micro finance institutions; ",social venture
145,“social venture fund” means an alternative investment fund which invests primarily in securities or units of social ventures and which satisfies social performance norms laid down by the fund and whose investors may agree to receive restricted or muted returns; ,social venture fund
146,“sponsor” means any person or persons who set up the alternative investment fund and includes promoter in case of a company and designated partner in case of a limited liability partnership;  ,sponsor
147,"“trust” means a trust established under the indian trusts act, 1882 or under an act of parliament or state legislation; ",trust
148,“unit” means beneficial interest of the investors in the alternative  investment fund or a scheme of the alternative investment fund and shall include shares or partnership interests; ,unit
149,"“venture capital fund” means an alternative investment fund which invests primarily in unlisted securities of start-ups, emerging or early-stage venture capital undertakings mainly involved in new products, new services, technology or intellectual property right based activities or a new business model 9[and shall ",venture capital fund
150,"“act” means the securities and exchange board of india act, 1992;  “appropriately regulated” entity means an entity which is regulated by the securities market regulator or the banking regulator of home jurisdiction or otherwise, in the same capacity in which it proposes to make investments in india;  page 2 of 29 “bilateral memorandum of understanding with the board” shall mean a bilateral memorandum of understanding between the board and any authority outside india that provides for information sharing arrangement as specified under clause of sub-section (2) of section 11 of the act;  ",act
151,“board” means the securities and exchange board of india established under section 3 of the act;  ,board
152,"""certificate"" means a certificate of registration granted to a foreign portfolio investor by the designated depository participant on behalf of the board under these regulations;  ",certificate
153,"“control” includes the right to appoint majority of the directors or to control the management or policy decisions exercisable by a person or persons acting individually or in concert, directly or indirectly, including by virtue of shareholding or management rights or shareholders agreements or voting agreements or in any other manner; ",control
154,"“custodian” means a person registered under the securities and exchange board of india regulations, 1996;  ",custodian
155,"""designated bank"" means a scheduled bank in india, which has been authorised by the reserve bank of india to act as a banker to foreign portfolio investors;  ",designated bank
156,“designated depository participant” means a person who has been approved by the board ,designated depository participant
157," “act” means the securities and exchange board of india act, 1992 (15 of 1992); 2 ",act
158," “applicant” means any person or persons who, acting alone or in combination with another person proposes to establish a depository under these regulations and holds fifteen percent shareholding of the depository; ",applicant
159," ""associate"" shall have the same meaning as assigned to it under clause of sub-regulation (1) of regulation 2 of the securities contracts (stock exchanges and clearing corporations) regulations, 2018 or any amendments thereof; ",associate
160," ""board"" means the securities and exchange board of india established under section 3 of the securities and exchange board of india act, 1992 (15 of 1992);  “change in control” –            in case of a body corporate –                      if its shares are listed on any recognised stock exchange, shall be construed with reference to the definition of control in terms of regulations framed under clause of sub-section (2) of section 11 of the act;                      in any other case, shall be construed as change in the controlling interest in the body corporate; explanation: for the purpose of para of this sub-clause, the expression ",board
161,"“controlling interest” means an interest, whether direct or indirect, to the extent of at least fifty-one percent of voting rights in the body corporate;            in a case other than that of a body corporate, shall be construed as any change in its legal formation or ownership. ",controlling interest
162," ""control"" shall have the same meaning as assigned to it under clause of sub-regulation (1) of regulation 2 of the securities and exchange board of india (substantial acquisition of shares and takeovers) regulations, 2011 or any amendments thereof; ",control
163," “depositories act” means the depositories act, 1996 (22 of 1996); ",depositories act
164, “form” means any of the forms specified in the first schedule; ,form
165," ""governing board” means the board of directors of a depository; ",governing board
166," “inspecting officer” means any person authorised by the board under regulation 84;  ""key management personnel"" would include a person serving as head of any department, or in such senior executive position that stands higher in hierarchy to the headof the departmentin the depository, or any person who directly reports to chief executive officer or to the director of the governing board of the depository, or any person upto two levels below the chief executive officer or managing director, or any other person as may be identified by its nomination and remuneration committee  ""persons acting in concert"" in the context of acquisition or holding of shares or voting rights or control shall mutatis mutandis have the same meaning as assigned to it in clause of sub-regulation (1) of regulation 2 of the securities and exchange board of india (substantial acquisition of shares and takeovers) regulations, 2011 or any amendments thereof;  3 ",inspecting officer
167,"""public interest director"" means  an independent director representing the interests of investors in securities market and who is not having any association, directly or indirectly, which in the opinion of the board, is in conflict with his role;  ",public interest director
168," ""regulatory department"" means a department of a depository which is entrusted with regulatory powers and duties and includes such department as may be specified by the board;"" ",regulatory department
169, “schedule” means any of the schedules annexed to these regulations; ,schedule
170," ""shareholder director"" means a director who represents the interest of shareholders, and elected or nominated by such shareholders who are not depository participants,  or their associates and agents; (2) words and expressions used and not defined in these regulations but defined in the act, the securities contracts act, 1956, the depositories act, 1996, the companies act, 2013 or any rules or regulations made thereunder shall have the same meanings respectively assigned to them in those acts, rules or regulations made thereunder or any statutory modification or re-enactment thereto, as the case may be. ",shareholder director
171,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); “associate”  shall mean any entity which is an associate under sub-section (6) of section 2 of the companies act, 2013 or under the applicable accounting standards:  provided that this definition shall not be applicable for the units issued by mutual fund which are listed on a recognised stock exchangefor which the provisions of the securities and exchange board of india (mutual funds) regulations, 1996 shall be applicable; 2 ",act
172,"""board"" means the securities and exchange board of india established under section 3 of the act ; “board of directors” or “board of trustees” shall mean the board of directors or board of trustees, whichever applicable, of the listed entity; “chief executive officer” or “managing director” or “manager” shall mean the person so appointed in terms of the companies act, 2013; “chief financial officer” or “whole time finance director” or “head of finance”, by whatever name called, shall mean the person heading and discharging the finance function of the listed entity as disclosed by it to the recognised stock exchangein its filing under these regulations;  “committee” shall mean committee of board of directors or any other committee so constituted; ",board
173,"“designated securities” means specified securities, non-convertible debt securities, non-convertible redeemable preference shares, perpetual debt instrument, perpetual non-cumulative preference shares, indian depository receipts, securitised debt instruments, [security receipts,]1 units issued by mutual funds and any other securities as may be specified by the board ;  ",designated securities
174,"“financial year” shall have the same meaning as assigned to it under sub-section (41) of section 2 of the companies act, 2013; 2[“fugitive economic offender” shall mean an individual who is declared a fugitive economic offender under section 12 of the fugitive economic offenders act, 2018 (17 of 2018);] ",financial year
175,"""global depository receipts”  means global depository receipts as defined in sub-section (44) of section 2 of the companies act, 2013; ",global depository receipts
176,“half year”  means the period of six months commencing on the first day of april or october of a financial year;  ,half year
177,“half yearly results” means the financial results prepared in accordance with these regulations in respect of a half year;  ,half yearly results
178,"""holding company"" means a holding company as defined in sub-section (46) of section 2 of the  companies act, 2013; ‘indian depository receipts’ means indian depository receipts as defined in sub-section(48) of section 2 of the  companies act, 2013; 1 inserted by sebi (listing obligations and disclosure requirements) (fifth amendment) regulations, 2018, w.e.f. 06.09.2018. 2 inserted by sebi (listing obligations and disclosure requirements) (sixth amendment) regulations, 2018, w.e.f. 16.11.2018. 3 ",holding company
179,"[“insolvency code” means the insolvency and bankruptcy code, 2016 [no. 31 of 2016]]3 ",insolvency code
180,"“key managerial personnel” means key managerial personnel as defined in sub-section (51) of section 2 of the companies act, 2013; ",key managerial personnel
181,"""listed entity"" means an entity which has listed, on a recognised stock exchange, the designated securities issued by it or designated securities issued under schemes managed by it, in accordance with the listing agreement entered  into between the entity and the recognised stock exchange; “listing agreement” shall mean an agreement that is entered into between a recognised stock exchange and an  entity, on the application of that entity to the recognised stock exchange, undertaking to comply with conditions for listing of designated securities; ",listed entity
182,"“main board"" means main board as defined in clause of sub-regulation (1) of regulation 106n of the securities and exchange board of india (issue of capital and disclosure requirements) regulations, 2009; ",main board
183,"“net worth” means net worth as defined in sub-section (57) of section 2 of the  companies act, 2013; ‘non-convertible debt securities’ which is ‘debt securities’ as defined under regulation 2(1)of  the securities and exchange board of india (issue and listing of debt securities) regulations, 2008;  ‘non-convertible redeemable preference shares’, ‘perpetual debt instrument’/'innovative perpetual debt instrument' and  ‘perpetual non-cumulative preference share’ shall have the same meaning as assigned to them in the securities and exchange board of india (issue and listing of non-convertible redeemable preference shares) regulations, 2013; ",net worth
184,"""offer document"" shall have the same meaning assigned to it under clause of sub-regulation (1) of regulation 2 of the securities and exchange board of india (issue of capital and disclosure requirements) regulations, 2009, clause of sub-regulation(1) of regulation 2 of the securities and exchange board of india (issue and listing of debt securities) regulations, 2008, clause of sub-regulation (1) of regulation 2 of the securities and exchange board of india (issue and listing of non-convertible redeemable preference shares) regulations, 2013, clause of regulation 2 of the securities and exchange board of india (mutual funds) regulations, 1996 and clause of sub-regulation (1) of regulation 2 of the [securities and exchange board of india (issue and 3 inserted by sebi (listing obligations and disclosure requirements) (third amendment) regulations, 2018, w.e.f. 31.05.2018. 4 listing of securitised debt instruments and security receipts) regulations, 2008]4, as may be applicable; ",offer document
185,"""promoter"" and ""promoter group"" shall have the same meaning as assigned to them respectively in clauses and of sub-regulation (1) of regulation 2 of the securities and exchange board of india (issue of capital and disclosure requirements) regulations, 2009. ","promoter"" and ""promoter group"
186,"""public"" means public as defined under clause of rule 2 of the securities contracts rules, 1957; ",public
187,"""public shareholding"" means public shareholding as defined under clause of rule 2 of the securities contracts rules, 1957; ",public shareholding
188,"“quarter” means the period of three months commencing on the first day of april, july, october or january of a financial year;  ",quarter
189,"""quarterly results"" means the financial results prepared in accordance with these regulations in respect of a quarter;  ",quarterly results
190,"“related party” means a related party as defined under sub-section (76) of section 2 of the companies act, 2013 or under the applicable accounting standards: 5[provided that any person or entity belonging to the promoter or promoter group of the listed entity and holding 20% or more of shareholding in the listed entity shall be deemed to be a related party.] provided 6[further] that this definition shall not be applicable for the units issued by mutual funds which are listed on a recognised stock exchange; ",related party
191,"“related party transaction” means a transfer of resources, services or obligations between a listed entity and a related party, regardless of whether a price is charged and a ""transaction"" with a related party shall be construed to include a single transaction or a group of transactions in a contract:  provided that this definition shall not be applicable for the units issued by mutual funds which are listed on a recognised stock exchange; ",related party transaction
192," “relative” means  relative as defined  under sub-section (77) of section 2 of the companies act, 2013 and rules prescribed there under:  provided this definition shall not be applicable for the units issued by mutual fund which are listed on a recognised stock exchange;  4  substituted by sebi (listing obligations and disclosure requirements) (fifth amendment) regulations, 2018, w.e.f. 06.09.2018. prior to this, it read as “securities and exchange board of india (public offer and listing of securitised debt instruments) regulations, 2008”. 5 inserted by the sebi (listing obligations and disclosure requirements) regulations, 2018, w.e.f. 1.4.2019 6 inserted ibid. 5 ",relative
193,"""schedule"" means a schedule annexed to these regulations; ",schedule
194,"""securities laws"" means the act, the securities contracts act, 1956, the depositories act, 1996, and the  provisions of the companies act, 1956 and companies act, 2013, and the rules, regulations, circulars or guidelines made thereunder.   ",securities laws
195,"[“securitized debt instruments” shall have the meaning assigned to it under the securities and exchange board of india (issue and listing of securitised debt instruments and security receipts) regulations, 2008;]7 ",securitized debt instruments
196,"[“security receipts” shall have the meaning assigned to it under the securities and exchange board of india (issue and listing of securitised debt instruments and security receipts) regulations, 2008;]8 ",security receipts
197,"“servicer” means servicer as defined under clauseof sub-regulation (1) of regulation 2 of the [securities and exchange board of india (issue and listing of securitised debt instruments and security receipts) regulations, 2008;]9 ""small and medium enterprises"" or ""sme"" shall mean an entity which has issued ",servicer
198,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); ",act
199,"""board"" means the securities and exchange board of india established under section 3 of the act; ",board
200,"“body corporate” shall have  the meaning assigned to it in or under sub-section (7) of section 2 of the companies act, 1956 (1 of 1956); ",body corporate
201,"“certificate” means a certificate of registration granted under these regulations; 2 “change in control” in relation to a company or  a body corporate, means:  if its shares are listed on any recognized stock exchange, change in control within the meaning of clause of sub-regulation (1) of regulation 2 of the securities and exchange board of india (substantial acquisition of shares and takeovers) regulations, 2011;  in any other case, change in the controlling interest or change in legal form.  explanation.─ for the purpose of sub-clause , the expression “controlling interest” means an interest, whether direct or indirect, to the extent of more than fifty percent of voting rights or interest;  ",certificate
202,"“company” means a company incorporated under the companies act, 1956; ",company
203,"“consideration” means any form of economic benefit including non-cash benefit, received or receivable for providing investment advice; “financial planning” shall include analysis of clients’ current financial situation, identification of their financial goals, and developing and recommending financial strategies to realise such goals; ",consideration
204,"“firm” means a partnership firm registered  under  indian partnership act, 1932 (9 of 1932); ",firm
205,“form” means any of the forms set out in the first schedule;  ,form
206,“inspecting authority” means any one or more persons appointed by the board  to exercise powers conferred under regulation 23; ,inspecting authority
207,"“investment advice” means advice relating to investing in, purchasing, selling or otherwise dealing in securities or investment products, and  advice on investment portfolio containing securities or investment products, whether written, oral or through any other means of communication for the benefit of the client and shall include financial planning:  provided that investment advice given through newspaper, magazines, any electronic or  broadcasting or telecommunications medium, which is widely available to the public shall not be considered as investment advice for the purpose of these regulations; ",investment advice
208,"“investment adviser” means any person, who for consideration, is engaged in the business of providing investment advice to clients or other persons or group of persons and includes any person who holds out himself as an investment adviser, by whatever name called; ",investment adviser
209,"“limited liability partnership” means a partnership formed and registered under the limited liability partnership act, 2008(6 of  2009); ",limited liability partnership
210,“nbfc” means a non-banking financial company regulated by reserve bank of india; 3 ,nbfc
211,“nism” means the national institute of securities market established by the board; ,nism
212,“partner” means partner of the firm or a limited liability partnership who renders investment advice on behalf of the firm or limited liability partnership; ,partner
213,"“representative” means an employee or an agent of an investment adviser who renders investment advice on behalf of that investment adviser. (2) the words and expressions used and not defined in these regulations but defined in the act, the securities contracts act, 1956 (42 of 1956), the companies act, 1956 (1 of 1956), or any rules or regulations made thereunder shall have the same meanings respectively assigned to them in those acts, rules or regulations made thereunder or any statutory modification or re-enactment thereto, as the case may be. ",representative
214,"“act” means the securities and exchange board of india act, 1992 [15 of 1992]; 2 ",act
215,"“advertisement” includes notices, brochures, pamphlets, show cards, catalogues, hoardings, placards, posters, insertions in newspaper, pictures and films in any print media or electronic media, radio, television programme;  ",advertisement
216,"“anchor investor"" means a qualified institutional buyer who makes an application for a value of at least ten crore rupees in a public issue on the main board made through the book building process in accordance with these regulations or makes an application for a value of at least two ",anchor investor
217,"""abridged prospectus"" shall have the same meaning assigned to it in or under sub-section (1) of section 2 of the companies act, 1956 and shall contain such additional disclosures as specified by board from time to time;  ",abridged prospectus
218,"“act”  means the securities and exchange board of india act, 1992; ",act
219,"""advertisement"" includes notices, brochures, pamphlets, circulars, show cards, catalogues, hoardings, placards, posters, insertions in newspaper, pictures, films, cover pages of offer documents or any other print medium, radio, television programmes through any electronic medium;  ",advertisement
220,"""bank"" includes any bank included in the second schedule to the reserve bank of india act, 1934; ",bank
221,“board” means the securities and exchange board of india established under provisions of section 3 of act; ,board
222,"“book building” means a process undertaken prior to filing of prospectus with the registrar of companies by means of circulation of a notice, circular, advertisement or other document by which the demand for the non-convertible redeemable preference shares proposed to be issued by an issuer is elicited and the price and quantity of such securities is assessed;  ",book building
223,"""designated stock exchange"" means a stock exchange in which securities of the issuer are listed or proposed to be listed and which is chosen by the issuer for the purpose of a particular issue under these regulations; ",designated stock exchange
224,"""innovative perpetual debt instrument"" means an innovative perpetual debt instrument issued by a bank in accordance with the  guidelines framed by the reserve bank of india; ",innovative perpetual debt instrument
225,"""issuer"" means any public company in terms of section 3 of the companies act, 1956, public sector undertaking or statutory corporation which 3 makes or proposes to make an issue of non-convertible redeemable preference shares in accordance with these regulations or which has its securities listed on a recognized stock exchange or which seeks to list its non-convertible redeemable preference shares on a recognized stock exchange; ",issuer
226,“listing agreement” means a listing agreement to be entered into between the issuer and the stock exchange where the non-convertible redeemable preference shares are proposed to be listed in the form as may be specified by the board from time to time;  ,listing agreement
227,"""non-convertible redeemable preference share"" means a preference share which is redeemable in accordance with the provisions of the companies act, 1956 and does not include a preference share which is convertible into or exchangeable with equity shares of the issuer at a later date, with or without the option of the holder; ",non-convertible redeemable preference share
228,"""perpetual non-cumulative preference share"" means a perpetual non-cumulative preference share issued by a bank in accordance with the  guidelines framed by the reserve bank of india; ",perpetual non-cumulative preference share
229,"""private placement"" means an offer or invitation to subscribe to the non-convertible redeemable preference shares in terms of sub-section (3) of section 67 of the companies act, 1956; ""promoter"" has the same meaning as in the securities and exchange board of india (issue of capital and disclosure requirements) regulations, 2009; ",private placement
230,"""public issue"" means an offer or invitation by an issuer to public to subscribe to the non-convertible redeemable preference shares which is not in the nature of a private placement; ",public issue
231,"""offer document"" means prospectus and includes any such document or advertisement whereby the subscription to non-convertible redeemable preference shares are invited by the issuer from public; ",offer document
232,"""recognized stock exchange"" means any stock exchange which is recognized under section 4 of the securities contracts act, 1956; ",recognized stock exchange
233,"""schedule"" means a schedule annexed to these regulations; 4 ",schedule
234,"""specified"" means as specified by the board 1[;] ",specified
235,"2[""wilful defaulter"" means an issuer who is categorized as a wilful defaulter by any bank or financial institution or consortium thereof, in accordance with the guidelines on wilful defaulters issued by the reserve bank  of india and includes an issuer whose director or promoter is categorized as such.] (2)  all other words and expressions used but not defined in these regulations, shall have the same meanings respectively assigned to them in the act or the companies act, 1956 or securities contracts act, 1956 or the depositories act, 1996 or the rules and the regulations made thereunder or any statutory modification or re-enactment thereto, unless the context requires otherwise. applicability. 3. these regulations shall apply to,- (1) public issue of non-convertible redeemable preference shares;  (2) listing of non-convertible redeemable preference shares on a recognized stock exchange which are issued by a public company through public issue or on private placement basis; and (3) issue and listing of perpetual non-cumulative preference shares and perpetual debt instrument, issued by banks on private placement basis in compliance with  guidelines issued by reserve bank of india. ",wilful defaulter
236,"“act” means the securities and exchange board of india act, 1992 (15 of 1992); 2 “associate” of any person 1[“means “associate company” as defined under the companies act, 2013 or under the applicable accounting standards and shall also include”,] – any person controlled, directly or indirectly, by the said person;  any person who controls, directly or indirectly, the said person;  where the said person is a company or a body corporate, any personwho is designated as promoterof the company or body corporate and any other company or body corporate with the same promoter; where the said person is an individual, any relative of the individual; 2[***] 3[***] 4[***] 5[***]  ",act
237,"""board"" means the securities and exchange board of india established under section 3 of the act; ",board
238,"“body corporate” shall have  the meaning assigned to it in or under sub-section (11) of section 2 of the companies act, 2013; ",body corporate
239,"“bonus issue” means additional units allotted to the unit holders, as on the record date fixed for the said purpose, without any cost to the unit holder; ",bonus issue
240,"“certificate” means a certificate of registration granted under these regulations; ""change in control"", means,– 1 substituted by securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016. prior to which it read as ‘“associate” of any person includes’. 2 sub clause omitted by securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016. prior to which it read as ‘where the said person is a company or a body corporate or an llp, its group companies;’ 3 sub clause omitted by securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016. prior to which it read as ‘companies or llps under the same management;’ 4 sub clause omitted by securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016.  prior to which it read as ‘where the said person is an invit, related parties to the invit;’ 5 sub clause omitted by securities and exchange board of india (infrastructure investment trusts) regulations, 2016, w.e.f 30.11.2016.  prior to which it read as ‘any company or llp or body corporate in which the person or its directoror partnerholds, either individually or collectively, more than fifteen percent of its paid-up equity share capital or partnership interest, as the case may be;’ 3 in case of a company or body corporate, change in control where 'control' shall have the meaning as provided in sub-section (27) of section 2 of the companies act, 2013; in any other case, change in the controlling interest. explanation.─ for the purpose of sub-clause , the expression “controlling interest” means an interest, whether direct or indirect, to the extent of more than fifty percent of voting rights or interest; ",certificate
241,"“company” means a company as defined under sub-section (20) of section 2 of the companies act, 2013; ",company
242,"""completed and revenue generating project"" means an infrastructure project, which prior to the date of its acquisition by, or transfer to, the invit, satisfies the following conditions,– the infrastructure project has achieved the commercial operations date as defined under the relevant project agreement including concession agreement, power purchase agreement or any other agreement of a similar nature entered into in relation to the operation of the project or in any agreement entered into with the lenders; the infrastructure project has received all the requisite approvals and certifications for commencing operations; and  the infrastructure project has been generating revenue from operations for a period of not less than one year;        ",completed and revenue generating project
243,“concession agreement” means an agreement entered into by a person with a concessioning authority for the purpose of implementation of the project as provided in the agreement; ,concession agreement
244,“concessioning authority” means the public sector concessioning authority in ppp projects; ,concessioning authority
245,"“credit rating agency” means a credit rating agency registered with the board under the securities and exchange board of india (credit rating agencies) regulations, 1999; ",credit rating agency
246,"“custodian” means a person registered with the board under the securities and exchange board of india (custodian of securities) regulations, 1996; 4 ",custodian
247,"6 [““debt securities” shall be defined under regulation 2(1)of the securities and exchange board of india (issue and listing of debt securities) regulations, 2008;”] ",“debt securities
248,"“designated stock exchange” means a recognised stock exchange in which units of an invit are listed or proposed to be listed and which is chosen by the invit as a designated stock exchange for the purpose of a particular issue of the units of the invit under these regulations: provided that where one or more of such stock exchanges have nationwide trading terminals, the invit shall choose one of them as the designated stock exchange: provided further that the invit may choose a different recognised stock exchange as a designated stock exchange for any subsequent issue of units of the invit under these regulations; ",designated stock exchange
